ACCIDENT_NO,VEHICLE_ID,VEHICLE_YEAR_MANUF,VEHICLE_DCA_CODE,INITIAL_DIRECTION,ROAD_SURFACE_TYPE,ROAD_SURFACE_TYPE_DESC,REG_STATE,VEHICLE_BODY_STYLE,VEHICLE_MAKE,VEHICLE_MODEL,VEHICLE_POWER,VEHICLE_TYPE,VEHICLE_TYPE_DESC,VEHICLE_WEIGHT,CONSTRUCTION_TYPE,FUEL_TYPE,NO_OF_WHEELS,NO_OF_CYLINDERS,SEATING_CAPACITY,TARE_WEIGHT,TOTAL_NO_OCCUPANTS,CARRY_CAPACITY,CUBIC_CAPACITY,FINAL_DIRECTION,DRIVER_INTENT,VEHICLE_MOVEMENT,TRAILER_TYPE,VEHICLE_COLOUR_1,VEHICLE_COLOUR_2,CAUGHT_FIRE,INITIAL_IMPACT,LAMPS,LEVEL_OF_DAMAGE,TOWED_AWAY_FLAG,TRAFFIC_CONTROL,TRAFFIC_CONTROL_DESC
T20120007812,A,2005.0,2.0,W,1.0,Paved,V,BUS,TOYOTA,HIACE,,3,Taxi,,R,M,4.0,4.0,11.0,2059.0,2.0,,,W,15.0,15.0,H,YLW,ZZ,2.0,6,2.0,6,2.0,0.0,No control
T20120007816,A,2003.0,1.0,N,1.0,Paved,V,WAGON,FORD,EXPLOR,,2,Station Wagon,,R,P,4.0,6.0,7.0,1850.0,1.0,,,E,2.0,2.0,H,GLD,ZZ,2.0,5,1.0,4,1.0,1.0,Stop-go lights
T20120007816,B,1993.0,2.0,S,1.0,Paved,V,MULTIX,SUZUKI,VITARA,,2,Station Wagon,,R,P,4.0,4.0,5.0,1150.0,1.0,,,S,1.0,1.0,H,RED,ZZ,2.0,F,1.0,4,1.0,1.0,Stop-go lights
T20120007818,A,1997.0,1.0,W,1.0,Paved,V,SEDAN,CHRYS,NEON,,1,Car,,R,P,4.0,4.0,5.0,1067.0,1.0,,,N,2.0,2.0,H,GRN,ZZ,2.0,1,0.0,4,1.0,11.0,Giveway sign
T20120007818,B,2008.0,2.0,S,1.0,Paved,V,SEDAN,MAZDA,3,,1,Car,,R,P,4.0,4.0,5.0,1187.0,1.0,,,S,1.0,1.0,H,BLK,ZZ,2.0,F,0.0,4,1.0,11.0,Giveway sign
T20120007819,A,2003.0,1.0,N,1.0,Paved,V,SEDAN,HOLDEN,COMMO,,1,Car,,R,P,4.0,6.0,5.0,1578.0,1.0,,,E,2.0,2.0,H,SIL,ZZ,2.0,5,0.0,5,2.0,0.0,No control
T20120007819,B,2001.0,2.0,S,1.0,Paved,V,SEDAN,HOLDEN,COMMOD,,1,Car,,R,P,4.0,8.0,5.0,1400.0,3.0,,,E,3.0,3.0,H,RED,ZZ,2.0,1,0.0,4,1.0,0.0,No control
T20120007819,C,2009.0,8.0,W,1.0,Paved,V,DC UTE,MAZDA,BT50,,4,Utility,2948.0,R,D,4.0,4.0,5.0,1521.0,1.0,1427.0,,W,15.0,17.0,H,SIL,ZZ,2.0,1,0.0,4,1.0,11.0,Giveway sign
T20120007820,A,1996.0,1.0,SW,1.0,Paved,V,SEDAN,MITSUB,MAGNA,,1,Car,,R,P,4.0,6.0,5.0,1350.0,1.0,,,NW,3.0,3.0,H,BLU,ZZ,2.0,8,2.0,1,2.0,0.0,No control
T20120007822,A,2005.0,2.0,N,1.0,Paved,V,SEDAN,HOLDEN,EXEC,,1,Car,,R,P,4.0,6.0,5.0,1568.0,1.0,,,N,11.0,15.0,H,GRY,ZZ,2.0,2,2.0,1,2.0,0.0,No control
